date,interest_rate,m4_moneySupply,net_lending_privateSector,net_lending_publicSector,bond_issuance,bond_repayment,change_in_reserves
06/11/2003,3.75,,,,,,
01/12/2003,,,261333,35904,74877,-2165,
01/01/2004,,1099149,294238,34442,,,
01/02/2004,,,279277,29288,,,
05/02/2004,4,,,,,,
01/03/2004,,,291826,27965,55011,15250,
01/04/2004,,1127853,298381,25392,,,
01/05/2004,,,287118,29394,,,
06/05/2004,4.25,,,,,,
01/06/2004,,,288014,34889,69933,7028,
10/06/2004,4.5,,,,,,
01/07/2004,,1149453,263557,27710,,,
01/08/2004,,,279387,27029,,,
05/08/2004,4.75,,,,,,
01/09/2004,,,292306,28626,80218,-8382,
01/10/2004,,1173596,293121,25824,,,
01/11/2004,,,299180,35548,,,
01/12/2004,,,294604,45386,69548,18409,
01/01/2005,,1212719,304698,33323,,,
01/02/2005,,,305025,30357,,,
01/03/2005,,,315862,31287,69916,-6316,
01/04/2005,,1243616,319927,31534,,,
01/05/2005,,,323737,34880,,,
01/06/2005,,,322339,38802,72667,-11318,
01/07/2005,,1277448,338771,32304,,,
01/08/2005,,,330814,32740,,,
04/08/2005,4.5,,,,,,
01/09/2005,,,323762,36692,63756,34522,
01/10/2005,,1322099,332933,36849,,,
01/11/2005,,,344601,38816,,,
01/12/2005,,,347299,45225,57347,12323,
01/01/2006,,1361195,355698,37676,,,
01/02/2006,,,362957,29580,,,
01/03/2006,,,399366,32070,53003,11684,
01/04/2006,,1411775,395301,34480,,,
01/05/2006,,,404359,38212,,,
01/06/2006,,,382971,37213,57829,13460,-2319
01/07/2006,,1460786,362468,34387,,,
01/08/2006,,,365711,31750,,,
03/08/2006,4.75,,,,,,
01/09/2006,,,374324,36352,59276,18649,-3438
01/10/2006,,1492705,388564,34695,,,
01/11/2006,,,397083,36069,,,
09/11/2006,5,,,,,,
01/12/2006,,,400330,35213,44309,2226,1554
01/01/2007,,1537548,406384,20805,,,
11/01/2007,5.25,,,,,,
01/02/2007,,,445167,19042,,,
01/03/2007,,,449149,21314,45130,14429,-2518
01/04/2007,,1591047,470741,21005,,,
01/05/2007,,,473131,23449,,,
10/05/2007,5.5,,,,,,
01/06/2007,,,458994,25465,31370,24799,253
01/07/2007,,1647870,471393,23003,,,
05/07/2007,5.75,,,,,,
01/08/2007,,,474759,24137,,,
01/09/2007,,,479624,22332,57611,17252,6721
01/10/2007,,1669733,492814,27337,,,
